IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.178.150.170,443,443,true,FRA,Europe,Frankfurt,332,5.00
130.162.226.148,443,443,true,FRA,Europe,Frankfurt,247,4.91
141.147.100.209,443,443,true,FRA,Europe,Frankfurt,341,4.81
141.147.75.45,443,443,true,FRA,Europe,Frankfurt,377,4.77
150.230.126.228,443,443,true,FRA,Europe,Frankfurt,269,4.76
138.2.142.29,443,443,true,FRA,Europe,Frankfurt,304,4.63
155.248.196.123,443,443,true,YVR,North America,Vancouver,186,4.59
89.168.72.205,443,443,true,FRA,Europe,Frankfurt,382,4.57
152.67.231.219,443,443,true,SJC,North America,San Jose,183,4.56
143.47.243.144,8443,443,true,LHR,Europe,London,316,4.55
146.235.219.98,443,443,true,SJC,North America,San Jose,183,4.53
129.153.120.171,443,443,true,LAX,North America,Los Angeles,200,4.50
150.230.149.208,443,443,true,FRA,Europe,Frankfurt,252,4.47
129.146.254.39,443,443,true,LAX,North America,Los Angeles,190,4.46
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,221,4.42
144.24.243.207,443,443,true,ZRH,Europe,Zurich,174,4.40
129.153.213.8,443,443,true,LAX,North America,Los Angeles,182,4.35
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,188,4.32
132.145.15.243,443,443,true,FRA,Europe,Frankfurt,345,4.31
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,249,4.30
129.80.116.250,443,443,true,IAD,North America,Ashburn,246,4.30
155.248.202.141,443,443,true,SJC,North America,San Jose,186,4.26
158.101.11.22,443,443,true,LAX,North America,Los Angeles,192,4.22
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,274,4.22
141.145.206.16,8443,443,true,CDG,Europe,Paris,247,4.21
89.168.52.251,8443,443,true,CDG,Europe,Paris,250,4.18
130.162.225.11,443,443,true,FRA,Europe,Frankfurt,283,4.17
146.56.132.247,443,443,true,NRT,Asia Pacific,Tokyo,110,4.17
143.47.243.144,2053,443,true,LHR,Europe,London,242,4.09
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,253,3.99
89.168.107.91,443,443,true,FRA,Europe,Frankfurt,246,3.95
130.162.46.33,443,443,true,FRA,Europe,Frankfurt,253,3.90
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,87,3.87
152.70.148.46,2053,443,true,LAX,North America,Los Angeles,216,3.86
130.162.42.235,443,443,true,FRA,Europe,Frankfurt,276,3.85
152.70.155.147,2087,2087,true,LAX,North America,Los Angeles,228,3.83
132.226.203.66,443,443,true,FRA,Europe,Frankfurt,258,3.82
89.168.103.28,443,443,true,FRA,Europe,Frankfurt,332,3.81
140.238.68.3,443,443,true,LHR,Europe,London,242,3.81
158.180.53.139,2087,2096,true,FRA,Europe,Frankfurt,252,3.81
144.24.175.56,443,443,true,FRA,Europe,Frankfurt,325,3.80
140.238.102.114,8443,443,true,LHR,Europe,London,251,3.80
130.61.66.81,443,443,true,AMS,Europe,Amsterdam,327,3.79
132.145.248.11,443,443,true,FRA,Europe,Frankfurt,333,3.79
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,259,3.78
132.145.239.76,443,443,true,FRA,Europe,Frankfurt,329,3.76
130.61.109.6,2053,443,true,FRA,Europe,Frankfurt,249,3.76
89.168.86.104,443,443,true,FRA,Europe,Frankfurt,329,3.75
141.148.229.106,443,443,true,AMS,Europe,Amsterdam,328,3.74
130.61.114.171,443,443,true,FRA,Europe,Frankfurt,252,3.73
144.24.188.238,443,443,true,FRA,Europe,Frankfurt,252,3.73
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,332,3.73
158.178.150.80,443,443,true,FRA,Europe,Frankfurt,267,3.72
89.168.78.225,443,443,true,FRA,Europe,Frankfurt,249,3.71
152.70.59.90,8443,443,true,AMS,Europe,Amsterdam,325,3.70
141.147.82.24,443,443,true,FRA,Europe,Frankfurt,338,3.70
